,Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/31/20 ($m),Sector,Industry,City,State,Latitude,Longitude
182,183,D.R. Horton,"8,916",11,"$17,593 ",9.50%,"$1,618.50 ",10.80%,"$15,607 ","$12,456 ",Engineering &  Construction,Homebuilders,Arlington,TX,32.735687,-97.10806559999999
183,184,HollyFrontier,"4,074",-9,"$17,487 ",-1.30%,$772.40 ,-29.70%,"$12,165 ","$3,968 ",Energy,Petroleum Refining,Dallas,TX,32.7766642,-96.7969879
184,185,Tenneco,"78,000",82,"$17,450 ",48.30%,($334.00),-707.30%,"$13,226 ",$292 ,Motor Vehicles &  Parts,Motor Vehicles and Parts,Lake Forest,IL,42.2586342,-87.840625
185,186,EOG Resources,"2,900",-5,"$17,380 ",0.60%,"$2,734.90 ",-20.00%,"$37,125 ","$20,907 ",Energy,"Mining, Crude-Oil Production",Houston,TX,29.7604267,-95.36980279999999
186,187,Becton Dickinson,"70,093",8,"$17,290 ",8.20%,"$1,233.00 ",296.50%,"$51,765 ","$62,308 ",Health Care,Medical Products and Equipment,Franklin Lakes,NJ,41.016763899999994,-74.2057011
187,188,Lincoln National,"11,357",-1,"$17,258 ",5.10%,$886.00 ,-46.00%,"$334,761 ","$5,142 ",Financials,"Insurance: Life, Health (stock)",Wayne,PA,40.0462208,-75.3599105
188,189,PG&E,"23,000",-6,"$17,129 ",2.20%,"($7,656.00)",-,"$85,196 ","$4,763 ",,,,,,
189,190,salesforce.com,"49,000",50,"$17,098 ",28.70%,$126.00 ,-88.60%,"$55,126 ","$128,862 ",Technology,Computer Software,SF,CA,37.7749295,-122.4194155
190,191,Mastercard,"18,600",19,"$16,883 ",12.90%,"$8,118.00 ",38.60%,"$29,236 ","$242,794 ",Business Services,Financial Data Services,Harrison,NY,41.0400135,-73.71444770000001
191,192,General Mills,"40,000",8,"$16,865 ",7.10%,"$1,752.70 ",-17.80%,"$30,111 ","$31,986 ","Food, Beverages &  Tobacco",Food Consumer Products,Minneapolis,MN,44.977753,-93.2650108
192,193,Molina Healthcare,"10,000",-25,"$16,829 ",-10.90%,$737.00 ,4.20%,"$6,787 ","$8,501 ",Health Care,Health Care: Insurance and Managed Care,Long Beach,CA,33.770050399999995,-118.1937395
193,194,Cognizant Technology Solutions,"292,500",-1,"$16,783 ",4.10%,"$1,842.00 ",-12.30%,"$16,204 ","$25,495 ",Technology,Information Technology Services,Teaneck,NJ,40.8932469,-74.0116536
194,195,Marsh & McLennan,"76,000",15,"$16,652 ",11.40%,"$1,742.00 ",5.60%,"$31,357 ","$43,567 ",Financials,Diversified Financials,New York,NY,40.7127753,-74.0059728
195,196,XPO Logistics,"100,000",-16,"$16,648 ",-3.70%,$419.00 ,-0.70%,"$14,128 ","$4,502 ",Transportation,Transportation and Logistics,Greenwich,CT,41.0262417,-73.62819640000001
196,197,Dominion Energy,"19,100",41,"$16,572 ",24.00%,"$1,358.00 ",-44.50%,"$103,823 ","$60,515 ",Energy,Utilities: Gas and Electric,Richmond,VA,37.540724600000004,-77.4360481
197,198,Western Digital,"61,800",-46,"$16,569 ",-19.80%,($754.00),-211.70%,"$26,370 ","$12,442 ",Technology,"Computers, Office Equipment",San Jose,CA,37.338208200000004,-121.88632859999998
198,199,Gap,"129,000",-13,"$16,383 ",-1.20%,$351.00 ,-65.00%,"$13,679 ","$2,614 ",Retailing,Specialty Retailers: Apparel,SF,CA,37.7749295,-122.4194155
199,200,Aramark,"233,400",-2,"$16,227 ",2.80%,$448.50 ,-21.00%,"$13,736 ","$5,038 ",Business Services,Diversified Outsourcing Services,Philadelphia,PA,39.9525839,-75.1652215
200,201,Principal Financial,"17,601",18,"$16,222 ",13.90%,"$1,394.20 ",-9.80%,"$276,088 ","$8,609 ",Financials,"Insurance: Life, Health (stock)",Des Moines,IA,41.600544799999994,-93.6091064
201,202,Ross Stores,"92,500",7,"$16,039 ",7.00%,"$1,660.90 ",4.60%,"$9,348 ","$30,952 ",Retailing,Specialty Retailers: Apparel,Dublin,CA,37.7021521,-121.9357918
202,203,Colgate-Palmolive,"34,300",-1,"$15,693 ",1.00%,"$2,367.00 ",-1.40%,"$15,034 ","$56,900 ",Household Products,Household and Personal Products,New York,NY,40.7127753,-74.0059728
203,204,American Electric Power,"17,408",-12,"$15,561 ",-3.90%,"$1,921.10 ",-0.10%,"$75,892 ","$39,577 ",Energy,Utilities: Gas and Electric,Columbus,OH,39.9611755,-82.9987942
204,205,Nordstrom,"75,000",-9,"$15,524 ",-2.10%,$496.00 ,-12.10%,"$9,737 ","$2,398 ",Retailing,General Merchandisers,Seattle,WA,47.6062095,-122.33207079999998
